x,y,z,data
0.4,0,0.025,0.9996269
0.4,0,0.0375,0.9996686
0.4,0,0.05,0.99974203
0.4,0,0.0625,0.99978787
0.4,0,0.075,0.99980664
0.4,0,0.0875,0.99979705
0.4,0,0.1,0.9997286
0.4,0,0.1125,0.999574
0.4,0,0.125,0.9991699
0.4,0,0.1375,0.998237
0.4,0,0.15,0.9959272
0.4,0,0.1625,0.9879611
0.4,0,0.175,0.96218586
0.4,0,0.1875,0.88574994
0.4,0,0.2,0.6477984
0.4,0,0.2125,0.4901291
0.4,0,0.225,0.47341722
0.4,0,0.2375,0.4372504
0.4,0,0.25,0.37341875
0.45,0,0.0,0.99753225
0.45,0,0.0125,0.99827933
0.45,0,0.025,0.99873066
0.45,0,0.0375,0.9988536
0.45,0,0.05,0.9990969
0.45,0,0.0625,0.9992664
0.45,0,0.075,0.9993751
0.45,0,0.0875,0.9993976
0.45,0,0.1,0.9992925
0.45,0,0.1125,0.9989071
0.45,0,0.125,0.9980603
0.45,0,0.1375,0.9954396
0.45,0,0.15,0.9892655
0.45,0,0.1625,0.9660394
0.45,0,0.175,0.90006846
0.45,0,0.1875,0.75863814
0.45,0,0.2,0.40539354
0.45,0,0.2125,0.21755661
0.45,0,0.225,0.18361385
0.45,0,0.2375,0.14197353
0.45,0,0.25,0.0
0.5,0,0.0,0.9990331
0.5,0,0.0125,0.99946845
0.5,0,0.025,0.99955726
0.5,0,0.0375,0.99964094
0.5,0,0.05,0.99975926
0.5,0,0.0625,0.9998183
0.5,0,0.075,0.99984854
0.5,0,0.0875,0.9998524
0.5,0,0.1,0.99982494
0.5,0,0.1125,0.99969983
0.5,0,0.125,0.9993235
0.5,0,0.1375,0.99812627
0.5,0,0.15,0.99319345
0.5,0,0.1625,0.97686803
0.5,0,0.175,0.9295581
0.5,0,0.1875,0.8273646
0.5,0,0.2,0.6284915
0.5,0,0.2125,0.49111548
0.5,0,0.225,0.48057806
0.5,0,0.2375,0.4583243
0.5,0,0.25,0.4202013
0.55,0,0.0,0.9993126
0.55,0,0.0125,0.999687
0.55,0,0.025,0.9997682
0.55,0,0.0375,0.9998132
