x,y,z,data
0.35,0,0.1875,0.064044684
0.35,0,0.2,0.14187522
0.35,0,0.2125,0.38467106
0.35,0,0.225,0.3548462
0.35,0,0.2375,0.31416973
0.35,0,0.25,0.24043345
0.4,0,0.0,0.00024598837
0.4,0,0.0125,5.4042408e-05
0.4,0,0.025,4.4614833e-05
0.4,0,0.0375,2.8648388e-05
0.4,0,0.05,3.8306676e-05
0.4,0,0.0625,4.0337167e-05
0.4,0,0.075,4.167877e-05
0.4,0,0.0875,6.157896e-05
0.4,0,0.1,9.990908e-05
0.4,0,0.1125,0.0002262601
0.4,0,0.125,0.0006036023
0.4,0,0.1375,0.0015484325
0.4,0,0.15,0.0035803434
0.4,0,0.1625,0.011905919
0.4,0,0.175,0.03805218
0.4,0,0.1875,0.112396985
0.4,0,0.2,0.40600333
0.4,0,0.2125,0.49022582
0.4,0,0.225,0.47421962
0.4,0,0.2375,0.44212517
0.4,0,0.25,0.3949865
0.45,0,0.0,4.1335832e-05
0.45,0,0.0125,0.00043192078
0.45,0,0.025,0.00032951924
0.45,0,0.0375,0.00025934417
0.45,0,0.05,0.00016984307
0.45,0,0.0625,0.00015191914
0.45,0,0.075,0.00015084526
0.45,0,0.0875,0.000174103
0.45,0,0.1,0.00026699612
0.45,0,0.1125,0.0004815942
0.45,0,0.125,0.0011085826
0.45,0,0.1375,0.0037154215
0.45,0,0.15,0.009935868
0.45,0,0.1625,0.028201822
0.45,0,0.175,0.07719167
0.45,0,0.1875,0.17417473
0.45,0,0.2,0.4163573
0.45,0,0.2125,0.3768191
0.45,0,0.225,0.31802854
0.45,0,0.2375,0.24590535
0.45,0,0.25,0.0
0.5,0,0.0,0.000428617
0.5,0,0.0125,7.44356e-05
0.5,0,0.025,7.177443e-05
0.5,0,0.0375,7.3029885e-05
0.5,0,0.05,2.29299e-05
0.5,0,0.0625,4.0001345e-05
0.5,0,0.075,5.4591535e-05
0.5,0,0.0875,7.170328e-05
0.5,0,0.1,9.035183e-05
0.5,0,0.1125,0.00019473037
0.5,0,0.125,0.00054884376
0.5,0,0.1375,0.001609041
0.5,0,0.15,0.0064658797
0.5,0,0.1625,0.023376841
0.5,0,0.175,0.07427424
0.5,0,0.1875,0.18135127
0.5,0,0.2,0.40934348
0.5,0,0.2125,0.49124482
0.5,0,0.225,0.48121065
0.5,0,0.2375,0.461322
0.5,0,0.25,0.4316404
0.55,0,0.0,0.00026202202
0.55,0,0.0125,3.6772188e-05
0.55,0,0.025,4.446135e-05
0.55,0,0.0375,5.695895e-05
0.55,0,0.05,2.6310303e-05
0.55,0,0.0625,2.8719358e-05
0.55,0,0.075,3.421483e-05
0.55,0,0.0875,4.4167333e-05
0.55,0,0.1,6.161712e-05
0.55,0,0.1125,0.00015102162
0.55,0,0.125,0.000584176
0.55,0,0.1375,0.0035766298
0.55,0,0.15,0.021854986
0.55,0,0.1625,0.08942956
0.55,0,0.175,0.42804867
0.55,0,0.1875,0.4153593
0.55,0,0.2,0.39096686
0.55,0,0.2125,0.44921118
0.55,0,0.225,0.4117337
0.55,0,0.2375,0.39961746
0.55,0,0.25,0.36617032
0.6,0,0.0,0.0001987815
0.6,0,0.0125,6.934228e-05
0.6,0,0.025,4.3988915e-05
0.6,0,0.0375,3.328192e-05
0.6,0,0.05,2.086384e-05
0.6,0,0.0625,2.7322927e-05
0.6,0,0.075,3.3665863e-05
0.6,0,0.0875,4.1082003e-05
0.6,0,0.1,0.00010723353
0.6,0,0.1125,0.00032689903
0.6,0,0.125,0.0012887017
0.6,0,0.1375,0.004294686
0.6,0,0.15,0.01521401
0.6,0,0.1625,0.04995487
0.6,0,0.175,0.18217368
0.6,0,0.1875,0.49839646
0.6,0,0.2,0.4959014
0.6,0,0.2125,0.4887786
0.6,0,0.225,0.47554946
0.6,0,0.2375,0.4489197
0.6,0,0.25,0.4046747
0.65,0,0.0,3.5077344e-05
0.65,0,0.0125,0.00012189518
0.65,0,0.025,6.762582e-05
0.65,0,0.0375,4.723354e-05
0.65,0,0.05,3.290422e-05
0.65,0,0.0625,5.468002e-05
0.65,0,0.075,7.436464e-05
0.65,0,0.0875,9.0299494e-05
0.65,0,0.1,0.00011409062
0.65,0,0.1125,0.0002253199
0.65,0,0.125,0.00079992466
0.65,0,0.1375,0.0020928548
0.65,0,0.15,0.009249788
0.65,0,0.1625,0.030865481
0.65,0,0.175,0.112717144
0.65,0,0.1875,0.42760462
0.65,0,0.2,0.40058818
0.65,0,0.2125,0.3632579
0.65,0,0.225,0.33083445
0.65,0,0.2375,0.27898195
0.65,0,0.25,0.0
0.7,0,0.0,0.00016525388
0.7,0,0.0125,6.2273364e-05
0.7,0,0.025,2.242351e-05
0.7,0,0.0375,6.432197e-05
0.7,0,0.05,4.5009787e-05
0.7,0,0.0625,7.099024e-05
0.7,0,0.075,0.00010423553
0.7,0,0.0875,0.00014808746
0.7,0,0.1,0.0003266503
0.7,0,0.1125,0.001290851
