x,y,z,data
0.35,0,0.2125,0.8883598
0.35,0,0.225,0.81948227
0.35,0,0.2375,0.7255439
0.35,0,0.25,0.55525726
0.4,0,0.0,0.00049197674
0.4,0,0.0125,0.00013142824
0.4,0,0.025,0.000110924244
0.4,0,0.0375,6.9856644e-05
0.4,0,0.05,9.590387e-05
0.4,0,0.0625,0.000109255314
0.4,0,0.075,0.0001065135
0.4,0,0.0875,0.00014811754
0.4,0,0.1,0.00022047758
0.4,0,0.1125,0.0005790591
0.4,0,0.125,0.0015923977
0.4,0,0.1375,0.0039799213
0.4,0,0.15,0.00879252
0.4,0,0.1625,0.028723896
0.4,0,0.175,0.089155614
0.4,0,0.1875,0.245579
0.4,0,0.2,0.9972154
0.4,0,0.2125,0.99403065
0.4,0,0.225,0.9858311
0.4,0,0.2375,0.967094
0.4,0,0.25,0.9288967
0.45,0,0.0,8.267164e-05
0.45,0,0.0125,0.0010647178
0.45,0,0.025,0.0007596016
0.45,0,0.0375,0.00064474344
0.45,0,0.05,0.00045520067
0.45,0,0.0625,0.00039631128
0.45,0,0.075,0.00038188696
0.45,0,0.0875,0.0004695058
0.45,0,0.1,0.00062924623
0.45,0,0.1125,0.0011464357
0.45,0,0.125,0.0027816892
0.45,0,0.1375,0.009601951
0.45,0,0.15,0.02558583
0.45,0,0.1625,0.073595285
0.45,0,0.175,0.20128453
0.45,0,0.1875,0.4448918
0.45,0,0.2,0.9450219
0.45,0,0.2125,0.87022644
0.45,0,0.225,0.7344554
0.45,0,0.2375,0.5678941
0.45,0,0.25,0.0
0.5,0,0.0,0.000857234
0.5,0,0.0125,0.00019359589
0.5,0,0.025,0.00018566847
0.5,0,0.0375,0.00018519163
0.5,0,0.05,5.9723854e-05
0.5,0,0.0625,0.00010019541
0.5,0,0.075,0.00014513731
0.5,0,0.0875,0.00019365549
0.5,0,0.1,0.0002487898
0.5,0,0.1125,0.00051379204
0.5,0,0.125,0.0013725758
0.5,0,0.1375,0.0034573078
0.5,0,0.15,0.0143736005
0.5,0,0.1625,0.054466665
0.5,0,0.175,0.1771884
0.5,0,0.1875,0.4322756
0.5,0,0.2,0.99908733
0.5,0,0.2125,0.99817216
0.5,0,0.225,0.9960401
0.5,0,0.2375,0.9909025
0.5,0,0.25,0.98000413
0.55,0,0.0,0.00052404404
0.55,0,0.0125,0.00010353327
0.55,0,0.025,0.000115036964
0.55,0,0.0375,0.0001423955
0.55,0,0.05,6.425381e-05
0.55,0,0.0625,7.390976e-05
0.55,0,0.075,8.785725e-05
0.55,0,0.0875,0.00011819601
0.55,0,0.1,0.00016790628
0.55,0,0.1125,0.00037956238
0.55,0,0.125,0.0012645721
0.55,0,0.1375,0.008069873
0.55,0,0.15,0.050693214
0.55,0,0.1625,0.2010907
0.55,0,0.175,0.9989046
