offsetNano,x,y,z
481972279,1.6855164,-2.9328918,9.239227
487007679,1.5418701,-3.02388,9.289505
492043080,1.4437103,-3.0957031,9.3589325
497108998,1.391037,-3.1723175,9.442734
502144398,1.414978,-3.210617,9.519348
507179798,1.474823,-3.2369537,9.569626
512215199,1.5394745,-3.2369537,9.58638
517250599,1.572998,-3.2321777,9.545685
522316517,1.5442657,-3.26091,9.481033
527351918,1.5227051,-3.2872314,9.404419
532387318,1.5083466,-3.3111877,9.313446
537422718,1.5155334,-3.3494873,9.248795
542458119,1.5562286,-3.4045563,9.167404
547524037,1.6424255,-3.4452515,9.121902
552559437,1.7453766,-3.485962,9.052475
557594837,1.8291626,-3.5290527,8.968674
562630238,1.8818359,-3.6176453,8.899246
567665638,1.8986053,-3.7086182,8.889679
572701039,1.8962097,-3.7612915,8.923187
577766957,1.8531189,-3.8235474,8.963898
582802357,1.8171997,-3.916916,9.004593
587837757,1.7621307,-4.03183,9.088394
592873158,1.7214355,-4.163513,9.176971
597908558,1.7022705,-4.2784424,9.263168
602974476,1.7166443,-4.352661,9.320633
608009877,1.7310028,-4.371811,9.373306
613045277,1.7405853,-4.3430786,9.394852
618080677,1.7190399,-4.266464,9.368515
623116078,1.6687622,-4.187454,9.287109
628181996,1.6208801,-4.103668,9.200912
633217396,1.577774,-4.0342255,9.126694
638252796,1.5825653,-4.024658,9.050079
643288197,1.6256561,-4.003113,8.93277
648323597,1.6711578,-4.0150757,8.808273
653358998,1.7286072,-4.0150757,8.707718
658424916,1.7788849,-3.9743805,8.626312
663460316,1.7860718,-3.940857,8.5520935
668495716,1.7836761,-3.9360657,8.504211
673531117,1.711853,-3.9671936,8.49942
678566517,1.6041107,-3.9863434,8.583206
683632435,1.5059509,-4.036621,8.7556
688667836,1.4101868,-4.084503,8.939957
693703236,1.414978,-4.0821075,9.119522
698738636,1.4963837,-4.043808,9.282318
703774037,1.6065063,-4.000717,9.368515
708839955,1.6543884,-3.9432526,9.368515
713875355,1.6232758,-3.8953705,9.349365
718910755,1.529892,-3.8163605,9.287109
723946156,1.4341278,-3.7612915,9.236832
728981556,1.3479309,-3.7349548,9.198517
734047474,1.3096313,-3.7421417,9.17218
739082875,1.3072357,-3.77565,9.138672
744118275,1.3623047,-3.8331146,9.148239
749153675,1.4197693,-3.909729,9.150635
754189076,1.5179291,-4.007889,9.184158
759254994,1.5873566,-4.098877,9.191345
764290394,1.6400299,-4.1515503,9.198517
769325795,1.6041107,-4.1707,9.198517
774361195,1.4844055,-4.2401276,9.193741
779396595,1.3335724,-4.3335114,9.184158
784462513,1.1947021,-4.3933563,9.200912
789497914,1.1204834,-4.450821,9.229645
794533314,1.1492157,-4.4939117,9.244019
799568714,1.2449799,-4.5489807,9.318237
804604115,1.3191986,-4.625595,9.42836
809639515,1.3814545,-4.74292,9.521744
814705433,1.4365234,-4.8769836,9.593567
819740834,1.4652557,-4.989517,9.631866
824776234,1.4604645,-5.075714,9.610321
829811634,1.4460907,-5.130768,9.524139
834847035,1.4029999,-5.1618958,9.411606
839882435,1.3838501,-5.1571045,9.325409
844948353,1.3383636,-5.1379547,9.241623
849983753,1.3096313,-5.1403503,9.138672
855019154,1.2641449,-5.1451416,9.10994
860054554,1.2282257,-5.1810455,9.1458435
865089955,1.2042847,-5.2480927,9.205704
870155873,1.1899109,-5.324707,9.25119
875191273,1.1635895,-5.3869476,9.284714
880226673,1.1156921,-5.4492035,9.291901
885262074,1.0869751,-5.4970856,9.2799225
890297474,1.0486603,-5.5354004,9.265564
895332875,1.0462646,-5.537796,9.248795
900398793,1.0558472,-5.49469,9.196136
905434193,1.0558472,-5.4851227,9.136276
910469593,1.0606384,-5.49469,9.069229
915504994,1.0366821,-5.506668,9.040512
920540394,1.0031738,-5.5138397,8.990234
925606312,0.964859,-5.5354004,8.949524
930641712,0.93852234,-5.5234222,8.944733
935677113,0.9433136,-5.5042725,8.975861
940712513,0.9576874,-5.463562,8.975861
945747914,0.96006775,-5.4420166,8.987839
