offsetNano,x,y,z
442414249,0.9864044,-5.5593414,8.975861
447480167,1.0079651,-5.7053833,9.040512
452515567,1.0151367,-5.8202972,9.102753
457550968,1.0031738,-5.875366,9.119522
462586368,0.9935913,-5.8945312,9.093185
467621769,0.9624634,-5.88974,9.057266
472687686,0.9313507,-5.853821,9.004593
477723087,0.8714905,-5.779602,8.956711
482758487,0.78289795,-5.7293243,8.944733
487793888,0.6895294,-5.724533,8.966293
492829288,0.57699585,-5.7173615,8.937561
497895206,0.4333496,-5.7604523,8.935165
502930606,0.2753296,-5.8490295,8.978256
507966007,0.14364624,-5.9280396,9.038116
513001407,0.07182312,-5.9519806,9.03093
518067325,0.0574646,-5.920868,9.014175
523102726,0.07421875,-5.8202972,8.971069
528138126,0.13168335,-5.669464,8.916
533173526,0.19392395,-5.5210266,8.825027
538208927,0.21308899,-5.4324493,8.779541
543274845,0.22265625,-5.4108887,8.757996
548310245,0.24420166,-5.4420166,8.645462
553345645,0.30885315,-5.501877,8.5520935
558381046,0.3615265,-5.6311646,8.566452
563416446,0.41419983,-5.736511,8.650253
568482364,0.49560547,-5.8155212,8.707718
573517765,0.5961609,-5.8442535,8.698135
578553165,0.70628357,-5.796356,8.710114
583588565,0.77093506,-5.736511,8.700531
588623966,0.81881714,-5.5952454,8.659821
593689884,0.8355713,-5.439621,8.564056
598725284,0.8643036,-5.2169647,8.497025
603760685,0.8571167,-4.9990997,8.42041
608796085,0.8738861,-4.82193,8.370132
613831485,0.885849,-4.687851,8.358154
618897403,0.8930359,-4.6303864,8.353363
623932804,0.9433136,-4.632782,8.367737
628968204,0.9720459,-4.7022095,8.410828
634003604,1.0055695,-4.7955933,8.456314
639039005,1.0031738,-4.8961487,8.53772
644104923,1.0223236,-4.9871216,8.6311035
649140323,1.0390778,-5.023041,8.643066
654175724,1.0606384,-5.0038757,8.647858
659211124,1.0510559,-4.9703674,8.614334
664246524,1.0390778,-4.9081116,8.530548
669312442,1.043869,-4.82193,8.432373
674347843,1.0965424,-4.7261505,8.367737
679383243,1.1659698,-4.618408,8.3414
684418644,1.2449799,-4.534622,8.3414
689454044,1.3383636,-4.4244843,8.3414
694519962,1.4293365,-4.335907,8.358154
699555362,1.498764,-4.299988,8.425201
704590763,1.5825653,-4.3861847,8.487442
709626163,1.6663666,-4.510681,8.525757
714661563,1.7525482,-4.6950226,8.607162
719727481,1.8100128,-4.874588,8.712494
724762882,1.8554993,-5.044586,8.822632
729798282,1.901001,-5.111618,8.844177
734833683,1.9081726,-5.1212006,8.810669
739869083,1.8986053,-5.0421906,8.762772
744935001,1.8531189,-4.9033203,8.741226
749970401,1.8148041,-4.718979,8.731659
755005802,1.7932587,-4.517853,8.736435
760041202,1.7573395,-4.32872,8.762772
765107120,1.7190399,-4.2089996,8.779541
770142520,1.687912,-4.1515503,8.772354
775177921,1.6807251,-4.177887,8.753204
780213321,1.6950989,-4.218582,8.748413
785248722,1.7094574,-4.304779,8.767563
790314640,1.7310028,-4.4101257,8.765167
795350040,1.8267822,-4.462799,8.813049
800385440,1.9225464,-4.4604034,8.817841
805420841,1.9680328,-4.4484253,8.789108
810456241,1.9967651,-4.42688,8.757996
815522159,2.027893,-4.364624,8.719681
820557560,2.0542297,-4.242523,8.647858
825592960,2.0470428,-4.153946,8.647858
830628360,2.0781708,-4.1611176,8.6909485
835663761,2.1356354,-4.232956,8.67659
840729679,2.2098541,-4.3430786,8.693344
845765079,2.2625275,-4.4532166,8.786728
850800479,2.2601318,-4.5513763,8.825027
855835880,2.2361908,-4.56575,8.825027
860871280,2.1811218,-4.5633545,8.777145
865937198,2.1236572,-4.5394135,8.729263
870972599,2.0733795,-4.4843445,8.683777
876007999,2.0207062,-4.443634,8.645462
881043399,1.9967651,-4.42688,8.647858
886078800,1.9728241,-4.419693,8.667007
891144718,1.9776154,-4.4053345,8.743622
896180118,2.0015564,-4.434067,8.803482
901215519,1.9824066,-4.450821,8.815445
906250919,1.960846,-4.498703,8.817841
911286319,1.9081726,-4.5250397,8.815445
916352237,1.8794556,-4.5561676,8.779541
921387638,1.8507233,-4.5753174,8.77475
926423038,1.8363495,-4.577713,8.808273
931458438,1.821991,-4.5633545,8.820236
936493839,1.8387451,-4.553772,8.817841
941559757,1.8650818,-4.522644,8.827423
946595157,1.8674774,-4.48674,8.844177
951630558,1.8339539,-4.4699707,8.839386
956665958,1.790863,-4.4891357,8.832214
961731876,1.7070618,-4.517853,8.808273
966767276,1.632843,-4.5489807,8.777145
971802677,1.5945435,-4.5801086,8.791504
976838077,1.5394745,-4.5825043,8.77475
981873478,1.5346832,-4.5489807,8.736435
986939395,1.5179291,-4.4723663,8.671799
991974796,1.5083466,-4.4149017,8.6311035
997010196,1.5274963,-4.340683,8.609543
