x_time,y_fft
0.0,0.9140555373138758
21.533203125,1.0174763051513929
43.06640625,1.6695804648967494
64.599609375,3.2365911795160964
86.1328125,4.2555978519480036
107.666015625,4.390643193584856
129.19921875,3.614772718610818
150.732421875,3.257910715837502
172.265625,2.7837102157040796
193.798828125,3.3666352309226477
215.33203125,2.6546100984221925
236.865234375,2.1139033540853966
258.3984375,2.066476739584828
279.931640625,1.57752415813447
301.46484375,1.8340379627200385
322.998046875,2.040288518419055
344.53125,1.5469296982315357
366.064453125,1.364121643354479
387.59765625,1.3248410402411936
409.130859375,1.2462908473129346
430.6640625,1.387908948779569
452.197265625,1.464107716962764
473.73046875,1.4169668455653721
495.263671875,1.3774160448597603
516.796875,1.1960762654625723
538.330078125,1.4924575641699844
559.86328125,1.4478851435993423
581.396484375,1.2418659791838913
602.9296875,1.2503691018241876
624.462890625,1.3768298994359127
645.99609375,1.5088543227403306
667.529296875,1.6499468884356832
689.0625,1.7686826279558752
710.595703125,1.6745571855672379
732.12890625,1.4343810677417077
753.662109375,1.4344552729969606
775.1953125,1.6025040137829782
796.728515625,1.3902564248395326
818.26171875,1.2865663699471128
839.794921875,1.1114332942877703
861.328125,1.010479108797145
882.861328125,1.0236787940576364
904.39453125,0.9853017543874018
925.927734375,1.1213874420405772
947.4609375,1.1628636074956324
968.994140625,1.3337071225374189
990.52734375,1.4496457996707341
1012.060546875,1.7135886188299079
1033.59375,1.5459886299943024
1055.126953125,1.5789325959300706
1076.66015625,1.5613712213334978
1098.193359375,1.5430137893732974
1119.7265625,1.7357053817143078
1141.259765625,1.6130201457200104
1162.79296875,1.8496824970720598
1184.326171875,1.65099270384154
1205.859375,1.7436241444756528
1227.392578125,1.7241746157694
1248.92578125,2.0911133285223085
1270.458984375,2.0743336601684352
1291.9921875,1.842109355378346
1313.525390625,1.7941378473792264
1335.05859375,1.7089501213891747
1356.591796875,1.7588418413298474
1378.125,1.8740090060011352
1399.658203125,1.8894539769555925
1421.19140625,1.690183895381555
1442.724609375,1.449222633353601
1464.2578125,1.3205434895937793
1485.791015625,1.4383000643926525
1507.32421875,1.62840769488276
1528.857421875,1.713965604193465
1550.390625,1.5245785221622672
1571.923828125,1.4620816343830119
1593.45703125,1.556155823650837
1614.990234375,1.6082712309962273
1636.5234375,1.6838775831052832
1658.056640625,1.5776417133450964
1679.58984375,1.7394794206332935
1701.123046875,1.8396624609565195
1722.65625,1.8332765560241284
1744.189453125,2.0479770362186134
1765.72265625,1.9298148583839347
1787.255859375,1.8382821285626778
1808.7890625,1.7874799927976415
1830.322265625,1.6967300046547507
1851.85546875,1.6297874559566787
1873.388671875,1.488821182449916
1894.921875,1.330844965602325
1916.455078125,1.3767528600786911
1937.98828125,1.4777918558777874
1959.521484375,1.297492721077211
1981.0546875,1.07403681736049
2002.587890625,1.1128367746166783
2024.12109375,1.0852593999362439
2045.654296875,1.0826370403134868
2067.1875,1.0780691256202688
2088.720703125,0.9905004970920319
2110.25390625,0.8238829660806444
2131.787109375,0.780237029416653
2153.3203125,0.8783293092586958
2174.853515625,1.1139508669335685
